年月日,天気概況
2020/01/01,晴
2020/01/02,晴
2020/01/03,晴
2020/01/04,晴
2020/01/05,晴
2020/01/06,晴後一時曇
2020/01/07,曇一時晴後雨
2020/01/08,雨後曇時々晴
2020/01/09,晴
2020/01/10,晴後一時曇
2020/01/11,曇後晴
2020/01/12,曇一時晴後雨
2020/01/13,晴
2020/01/14,晴後時々曇
2020/01/15,雨後曇時々晴
2020/01/16,晴一時曇
2020/01/17,曇時々晴
2020/01/18,曇一時雪後みぞれ時々雨
2020/01/19,晴後一時曇
2020/01/20,晴
2020/01/21,晴
2020/01/22,曇時々晴
2020/01/23,雨一時みぞれ後曇
2020/01/24,晴一時曇
2020/01/25,曇時々晴
2020/01/26,曇後一時晴
2020/01/27,曇
2020/01/28,雨時々みぞれ
2020/01/29,晴一時雨
2020/01/30,晴
2020/01/31,晴
2020/02/01,晴
2020/02/02,晴
2020/02/03,晴時々曇
2020/02/04,晴時々曇
2020/02/05,晴後時々曇
2020/02/06,晴一時曇
2020/02/07,晴
2020/02/08,晴
2020/02/09,晴
2020/02/10,晴時々曇
2020/02/11,晴
2020/02/12,晴時々曇
2020/02/13,曇一時雨後晴
2020/02/14,曇一時晴後一時雨
2020/02/15,曇
2020/02/16,曇時々雨
2020/02/17,曇時々雨
2020/02/18,晴
2020/02/19,晴
2020/02/20,曇時々晴
2020/02/21,晴
2020/02/22,曇後時々晴
2020/02/23,晴
2020/02/24,晴一時曇
2020/02/25,曇時々晴後雨
2020/02/26,雨後曇
2020/02/27,晴
2020/02/28,晴時々曇
2020/02/29,曇時々晴
2020/03/01,晴時々曇
2020/03/02,雨後一時曇
2020/03/03,晴
2020/03/04,曇時々雨
2020/03/05,雨時々曇後晴
2020/03/06,晴
2020/03/07,曇
2020/03/08,雨時々曇
2020/03/09,晴時々曇
2020/03/10,雨
2020/03/11,晴
2020/03/12,晴
2020/03/13,曇時々晴
2020/03/14,雨一時曇、みぞれを伴う
2020/03/15,晴後一時雨一時曇
2020/03/16,晴時々曇一時雨
2020/03/17,晴
2020/03/18,晴一時雨
2020/03/19,晴
2020/03/20,晴一時曇
2020/03/21,晴
2020/03/22,晴後一時雨
2020/03/23,晴時々曇
2020/03/24,晴一時雨、みぞれを伴う
2020/03/25,晴
2020/03/26,晴
2020/03/27,曇一時雨
2020/03/28,曇時々晴後雨
